number,value,datetime_start,datetime_complete,duration,params_m,params_margin_coef,params_margin_power,params_s,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.4707118394177245,2023-03-11 23:04:31.688017,2023-03-11 23:14:30.176512,0 days 00:09:58.488495,0.499816047538945,0.6789267873576292,-0.2510045436414462,49.112857515378494,,,COMPLETE
1,0.983614725133647,2023-03-11 23:14:30.311147,2023-03-11 23:24:04.361628,0 days 00:09:34.050481,0.4124074561769746,0.8929409166199482,-0.7564372908738505,34.807901366051645,0.9810156770374464,0.9847759656284166,COMPLETE
2,0.9992828431336778,2023-03-11 23:24:04.384005,2023-03-11 23:35:17.850918,0 days 00:11:13.466913,0.5904460046972835,0.9759278817295955,-0.7845616292781482,44.745306400328815,0.9983582418897877,0.9996603234954502,COMPLETE
3,0.9998301604519719,2023-03-11 23:35:17.893009,2023-03-11 23:47:16.685617,0 days 00:11:58.792608,0.6829770563201687,0.34672360788274703,-0.6636312745946746,35.82210399220897,0.9999999974084937,0.9996603234954502,COMPLETE
4,,2023-03-11 23:47:16.742271,2023-03-11 23:51:37.666152,0 days 00:04:20.923881,0.4716968971838151,0.43298331215843355,-0.4760412360184132,41.44561576938028,0.9998301604519719,,FAIL
5,0.9997961930606676,2023-03-11 23:51:37.693726,2023-03-12 00:02:35.933466,0 days 00:10:58.239740,0.5947411578889518,0.4930894746349534,-0.5808915135985864,34.510889491736755,0.9996603234954502,,COMPLETE
6,,2023-03-12 00:02:35.958518,2023-03-12 00:06:46.763741,0 days 00:04:10.805223,0.5324279936868144,0.6113875507308892,-0.6502446633812302,46.133167305074245,0.9997735489969668,,FAIL
7,,2023-03-12 00:06:46.788469,2023-03-12 00:10:49.498161,0 days 00:04:02.709692,0.586965827544817,0.33641929894983325,-0.34434136107392127,32.836107428959956,0.9994712886602982,,FAIL
8,0.9998131767563198,2023-03-12 00:10:49.527397,2023-03-12 00:21:28.369718,0 days 00:10:38.842321,0.3760206371941118,0.846717878493169,-0.07577597519408052,49.079939670559995,0.9998301604519719,0.9997452419737111,COMPLETE
9,,2023-03-12 00:21:28.396266,2023-03-12 00:26:40.444596,0 days 00:05:12.048330,0.47184550766934824,0.5521219949916811,-0.28682523011588235,33.75809805211491,0.9994904865389285,,FAIL
